# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_PAINS_c_anthranil_amide_A,c1ccccc1C(=O)[NH]c2ccccc2C(=O)[NH][NH]c3nccs3
ALERT_PAINS_c_azulene,c1ccc2c(cc1)ccc2
ALERT_PAINS_c_colchicine_A,"c1(c(ccccc1)[N;H,H2])=N[#6]"
ALERT_PAINS_c_colchicine_B,"c1(ccc(cc1)c2cc(c3c(c(c2)[OH])coc3)=O)S[C;H2,H3]"
ALERT_PAINS_c_colchicine_het,"c13ccccc1sc(=NN=c2cccccc2)n3[C;H2,H3]"
ALERT_PAINS_c_coumarin_E,c23c([Br])cc1c(cco1)c2[cH]cc(=O)o3
ALERT_PAINS_c_coumarin_G,"c12c([F,Cl,Br,I])cc([F,Cl,Br,I])cc1[cH]c(C(=O)[NH2])c(=[NH])o2"
ALERT_PAINS_c_cyano_amino_het_A,c1(c(nc2c(c1C#N)c(c(cc2)C#N)[NH2])[NH2])C#N
ALERT_PAINS_c_cyano_amino_het_B,n3c([SX2]c1c([NH2])cccc1)c(C#N)c(c2ccccc2)c(C#N)c3[NH2]
ALERT_PAINS_c_cyano_cyano_B,C1(C#N)(C#N)[CH](C(=O)[#6])[CH]1
ALERT_PAINS_c_cyano_ene_amine_B,C=CC(C#N)(C#N)C(C#N)=C[NH2]
ALERT_PAINS_c_cyano_ene_amine_C,ccC(=O)[NH]C(=O)C(C#N)=[CH][NH]cc
ALERT_PAINS_c_cyano_imine_C,"O=S(=O)C(C#N)=N[N;H,H2]"
ALERT_PAINS_c_cyano_misc_A,c2(c1ccccc1nnc2)C(cc)C#N
ALERT_PAINS_c_cyano_pyridone_C,"C1(C([C;H2,H3])=C(C#N)[#6](~[#8])~[#7]~[#6]1~[#8])=[CH]cc"
ALERT_PAINS_c_cyano_pyridone_D,O=c1c(cc(nn1)C=O)C#N
ALERT_PAINS_c_cyano_pyridone_F,n2(c1ccccc1)c(=O)c(C#N)cc(C#N)n2
